# One line per image: filename | prompt
# Keep the whole line after the | as the prompt - the shared tail is the style lock.

great-horned-owl.webp | majestic portrait of a Great Horned Owl, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
great-white-shark.webp | majestic portrait of a Great White Shark, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
green-anaconda.webp | majestic portrait of a Green Anaconda, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
green-iguana.webp | majestic portrait of a Green Iguana, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
green-sea-turtle.webp | majestic portrait of a Green Sea Turtle, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
groundhog.webp | majestic portrait of a Groundhog, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
hammerhead-shark.webp | majestic portrait of a Hammerhead Shark, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
harbor-seal.webp | majestic portrait of a Harbor Seal, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
hermit-crab.webp | majestic portrait of a Hermit Crab, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
honeybee.webp | majestic portrait of a Honeybee, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
